dataset,target,split,task,features,head,n_request,n_train,seed,n_test,auc,ap,degenerate,spearman,pearson,r2,rmse
SAbDab_Chen,developability,random,classification,random,linear,25,25,18,603,0.5032063372312334,0.22411490063361572,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,18,603,0.4848770618291554,0.1959915095513748,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,18,603,0.44261170741744116,0.18550084856175053,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,18,603,0.5028462672747848,0.2286044649494956,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,18,603,0.46887966804979253,0.191936711762059,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,18,603,0.47465793354137376,0.1923006119774029,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,18,603,0.483831144336614,0.189209874299447,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,25,25,19,603,0.510939268200679,0.21687707284733146,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,50,50,19,603,0.5348239086451081,0.2544659816629987,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,100,100,19,603,0.5013374026953809,0.20621706303603096,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,200,200,19,603,0.49022667261067865,0.19724835924499196,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,500,500,19,603,0.4542025307774082,0.18785079701755858,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,1000,1000,19,603,0.46757655773121637,0.19610504981390856,False,,,,
SAbDab_Chen,developability,random,classification,random,linear,all,1806,19,603,0.4693254689482528,0.1984917547109303,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,0,603,0.46292994067418813,0.19197765163623393,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,0,603,0.4489900895031035,0.1808262471489564,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,0,603,0.44840711909742464,0.1812405921369992,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,0,603,0.4221734508418779,0.17435458160326955,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,0,603,0.4376221665923665,0.19061662736435356,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,0,603,0.4376050204039642,0.1829254696464416,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,0,603,0.45799183841432056,0.1965451157952281,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,1,603,0.5076129076506293,0.19472274274338483,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,1,603,0.4772641541785261,0.19886714231466485,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,1,603,0.4908953739583691,0.21799284115409476,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,1,603,0.5165803641850416,0.2135345616388048,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,1,603,0.5330749974280717,0.21793343364755907,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,1,603,0.4935358869723261,0.197850532377651,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,1,603,0.48326532011933754,0.1874127003572059,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,2,603,0.5107678063166559,0.21502126883241784,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,2,603,0.4862830492781455,0.19766768498593906,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,2,603,0.47975035149686224,0.19265830628381758,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,2,603,0.4944617811460512,0.2064322454755629,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,2,603,0.4608381056891053,0.18778874339526885,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,2,603,0.4787901649463324,0.1932298807989073,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,2,603,0.511796577620795,0.21116782408276946,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,3,603,0.5057439731147767,0.2002293553114753,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,3,603,0.4943589040156373,0.21048311517157225,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,3,603,0.4536709989369363,0.18214829536364202,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,3,603,0.43722780425911323,0.17982953908153246,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,3,603,0.4190871369294606,0.17649252191514098,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,3,603,0.4657933541373752,0.19062459316616187,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,3,603,0.4914440519872432,0.20654648320562197,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,4,603,0.4904667192483111,0.22048847928876011,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,4,603,0.4621069236308768,0.20573105997626923,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,4,603,0.479253112033195,0.19460400912131298,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,4,603,0.4492987208943452,0.17633089866507223,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,4,603,0.4516991872706697,0.19411448914848906,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,4,603,0.48606014882891535,0.21864393963641904,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,4,603,0.5041836699701656,0.231454548445296,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,5,603,0.486848873495422,0.1932292597032031,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,5,603,0.4779842940914235,0.18679885131787877,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,5,603,0.4682109667021021,0.18133940660780667,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,5,603,0.4707314563972429,0.19201985174614153,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,5,603,0.5220671444737836,0.2042624276243792,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,5,603,0.5052295874627071,0.1987996652838772,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,5,603,0.473269092280786,0.1941800218282365,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,6,603,0.4693254689482529,0.18154030800587243,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,6,603,0.42659716744967596,0.17308654265769896,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,6,603,0.4613353451527725,0.18496007060028152,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,6,603,0.473269092280786,0.1838724396665097,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,6,603,0.4784643873666884,0.1918696090020481,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,6,603,0.49219848427694524,0.1992594403293917,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,6,603,0.5041150852165563,0.21339828359966687,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,7,603,0.47019992455677107,0.19831518523077263,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,7,603,0.4678166043688488,0.19536941208082337,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,7,603,0.4602036967182196,0.19750855225516017,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,7,603,0.48521998559720175,0.22931503743966286,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,7,603,0.5129282260553479,0.20794361478407855,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,7,603,0.4908439353931622,0.2118754967254617,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,7,603,0.4971194403484106,0.20306749487598813,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,8,603,0.4933815712767052,0.21509317997349464,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,8,603,0.4726003909330955,0.20281353137662933,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,8,603,0.4927471623058194,0.1988225838815132,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,8,603,0.49946846815952817,0.20653334222328074,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,8,603,0.478875895888344,0.20169156901704377,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,8,603,0.5142656287507288,0.22570192465028832,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,8,603,0.47299475326634893,0.20036277060052324,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,9,603,0.5359555570796612,0.20947661359960848,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,9,603,0.5261993758787422,0.20723512970412422,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,9,603,0.5149686224752238,0.20210461607140123,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,9,603,0.5097390350125167,0.21641464173044614,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,9,603,0.4955076986385927,0.21832405716278092,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,9,603,0.4750522958746271,0.23218144447150935,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,9,603,0.4838997290902232,0.19907837117977686,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,10,603,0.4819622098007613,0.2030392719116012,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,50,50,10,603,0.4736120160488324,0.19581970989779052,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,100,100,10,603,0.5181235211412504,0.23803857070942314,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,200,200,10,603,0.490192380233874,0.21214269960510795,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,500,500,10,603,0.5129282260553479,0.20197306472808582,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,1000,1000,10,603,0.49309008607386573,0.21043254082363033,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,all,1806,10,603,0.5026405130139571,0.2235954504050477,False,,,,
SAbDab_Chen,developability,random,classification,random,mlp,25,25,11,603,0.5124138404032784,0.21274374396222953,False,,,,
