dataset,target,split,head,n_request,n_seeds,mean_delta,sd_delta,p_wilcoxon
TAP,PNC,cluster,linear,150,20,-0.09255174704282694,0.07134370641618527,3.814697265625e-06
TAP,PNC,cluster,linear,25,20,-0.09946697466825245,0.15760856693951814,0.00830841064453125
TAP,PNC,cluster,linear,50,20,-0.13359567241588224,0.10132678812260232,9.5367431640625e-06
TAP,PNC,cluster,linear,all,20,-0.08729826206556209,0.08405957248559714,0.000133514404296875
TAP,PNC,cluster,mlp,100,20,-0.1001546908817346,0.17057198209631802,0.017181396484375
TAP,PNC,cluster,mlp,150,20,-0.11103890058510787,0.10864589413227001,0.000209808349609375
TAP,PNC,cluster,mlp,25,20,-0.05692409433568375,0.17650657680880388,0.10539817810058594
TAP,PNC,cluster,mlp,50,20,-0.07088147152986998,0.19506181896181976,0.1230926513671875
TAP,PNC,cluster,mlp,all,20,-0.1440197152014669,0.12790073604814117,0.000133514404296875
TAP,PNC,random,gbm,100,20,-0.1547037797239214,0.16501351488015736,0.0007076263427734375
TAP,PNC,random,gbm,150,20,-0.0828740001790396,0.1323076907959356,0.013616561889648438
TAP,PNC,random,gbm,25,20,-0.045754003809338924,0.17313469553583347,0.16495704650878906
TAP,PNC,random,gbm,50,20,-0.10409745019714252,0.1639411529684414,0.012079238891601562
TAP,PNC,random,gbm,all,20,-0.09697162222729942,0.1524931389720315,0.013616561889648438
TAP,PNC,random,linear,100,20,-0.12593409628672858,0.09922316430175429,0.0001049041748046875
TAP,PNC,random,linear,150,20,-0.09278323925379185,0.09419005436378945,0.0004825592041015625
TAP,PNC,random,linear,25,20,-0.11476521805950728,0.1707285162224678,0.0072956085205078125
TAP,PNC,random,linear,50,20,-0.13851214267173179,0.15516038530788948,0.002712249755859375
TAP,PNC,random,linear,all,20,-0.07679196888882431,0.08338504349909132,0.001689910888671875
TAP,PNC,random,mlp,100,20,-0.18443469126356407,0.1606306115346817,4.76837158203125e-05
TAP,PNC,random,mlp,150,20,-0.18303642524919023,0.17194438392540076,0.0003948211669921875
TAP,PNC,random,mlp,25,20,-0.12160551705528053,0.20190263971641367,0.017181396484375
TAP,PNC,random,mlp,50,20,-0.13618699482278435,0.1744236089756162,0.0005855560302734375
TAP,PNC,random,mlp,all,20,-0.18105053367079676,0.2042663808429196,0.001209259033203125
TAP,PPC,cluster,gbm,100,20,-0.0861148282869224,0.22663363336236053,0.10539817810058594
TAP,PPC,cluster,gbm,150,20,-0.09932262346516808,0.156472942834053,0.012079238891601562
TAP,PPC,cluster,gbm,25,20,-0.07130832142879116,0.20609636986194715,0.09730720520019531
TAP,PPC,cluster,gbm,50,20,-0.13550798202724068,0.18687001467536357,0.005580902099609375
TAP,PPC,cluster,gbm,all,20,-0.13379289788252452,0.17053453058791504,0.0003948211669921875
TAP,PPC,cluster,linear,100,20,-0.09433058923385058,0.1650340537649364,0.021484375
TAP,PPC,cluster,linear,150,20,-0.06309221602982762,0.1351004966393307,0.06372261047363281
TAP,PPC,cluster,linear,25,20,-0.12686212357430496,0.16866804658931403,0.00830841064453125
TAP,PPC,cluster,linear,50,20,-0.13687743595458984,0.18062217803131791,0.00365447998046875
TAP,PPC,cluster,linear,all,20,-0.05519999028363837,0.13589478914086828,0.08969497680664062
TAP,PPC,cluster,mlp,100,20,-0.04638735286731546,0.19374033841078944,0.38837623596191406
TAP,PPC,cluster,mlp,150,20,-0.09156131730871298,0.19731181898556366,0.0758514404296875
TAP,PPC,cluster,mlp,25,20,-0.050525862724097224,0.20663999415935033,0.20244979858398438
TAP,PPC,cluster,mlp,50,20,-0.03350626058644002,0.19647360958514026,0.6476554870605469
TAP,PPC,cluster,mlp,all,20,-0.09636091940710809,0.16595162305822475,0.021484375
TAP,PPC,random,gbm,100,20,-0.029630746725653394,0.11123684882756467,0.24548721313476562
TAP,PPC,random,gbm,150,20,-0.08533587658522022,0.16994099586615918,0.04405403137207031
TAP,PPC,random,gbm,25,20,-0.0107238018067195,0.15556096252162344,0.5958194732666016
TAP,PPC,random,gbm,50,20,-0.05363410727867331,0.17695820561429892,0.19783306556714142
TAP,PPC,random,gbm,all,20,-0.15492509784662628,0.11629095540366888,3.814697265625e-06
TAP,PPC,random,linear,100,20,-0.09448586956571906,0.09521875599842106,0.0004825592041015625
TAP,PPC,random,linear,150,20,-0.06586120593935282,0.09974214642613242,0.01068878173828125
TAP,PPC,random,linear,25,20,-0.032004068438996565,0.19849570956305398,0.3117942810058594
TAP,PPC,random,linear,50,20,-0.09861636983067124,0.13945193017086052,0.00485992431640625
TAP,PPC,random,linear,all,20,-0.07054592864666083,0.11057319667534755,0.009435653686523438
TAP,PPC,random,mlp,100,20,-0.1085145721136552,0.177163302718853,0.009435653686523438
TAP,PPC,random,mlp,150,20,-0.09994173908619416,0.1823088682292015,0.01531219482421875
TAP,PPC,random,mlp,25,20,-0.03723581178677833,0.1982596088381479,0.36827659606933594
TAP,PPC,random,mlp,50,20,-0.09176469058218398,0.17857103360873522,0.009435653686523438
TAP,PPC,random,mlp,all,20,-0.10204253870633491,0.17366250120498475,0.023950576782226562
TAP,PSH,cluster,gbm,100,20,-0.06648905101338545,0.10835090834541053,0.009435653686523438
TAP,PSH,cluster,gbm,150,20,-0.047179485720654356,0.10373847907079882,0.13272666931152344
TAP,PSH,cluster,gbm,25,20,-0.08987605471787888,0.1793659035914402,0.03623390197753906
TAP,PSH,cluster,gbm,50,20,-0.06242516100406885,0.16346540153845962,0.1230926513671875
TAP,PSH,cluster,gbm,all,20,-0.07530689359340469,0.10009831948574274,0.00485992431640625
TAP,PSH,cluster,linear,100,20,-0.0031475012844731005,0.0820601534632022,0.47490501403808594
TAP,PSH,cluster,linear,150,20,-0.017779513775578522,0.054441955072062405,0.20244979858398438
TAP,PSH,cluster,linear,25,20,-0.024195605128673036,0.13566026909308154,0.47490501403808594
TAP,PSH,cluster,linear,50,20,-0.022587186511702752,0.11403446148002297,0.4523754119873047
TAP,PSH,cluster,linear,all,20,-0.015861100218909567,0.04543635483727441,0.16495704650878906
TAP,PSH,cluster,mlp,100,20,-0.0758400115498831,0.13648591759048914,0.026641845703125
TAP,PSH,cluster,mlp,150,20,-0.042658603651194366,0.16099053019263954,0.2773551940917969
TAP,PSH,cluster,mlp,25,20,-0.1386071723107726,0.16017464787222058,0.0007076263427734375
TAP,PSH,cluster,mlp,50,20,-0.1418282050582194,0.17076764183806029,0.0007076263427734375
TAP,PSH,cluster,mlp,all,20,-0.0025349680534235254,0.13885058069106862,0.9854354858398438
TAP,PSH,random,gbm,100,20,-0.02360655737704918,0.11562854797762066,0.2773551940917969
TAP,PSH,random,gbm,150,20,-0.06807773664727658,0.1148089711061093,0.01531219482421875
TAP,PSH,random,gbm,25,20,-0.03490745637228978,0.18324183718509612,0.5216732025146484
TAP,PSH,random,gbm,50,20,-0.044225277630883145,0.1827096119950395,0.49800872802734375
TAP,PSH,random,gbm,all,20,-0.061356425171866735,0.11167190441040198,0.039989471435546875
TAP,PSH,random,linear,100,20,-0.004516129032258065,0.12574673923126178,0.7841262817382812
TAP,PSH,random,linear,150,20,-0.0016578529878371398,0.08444649515221027,0.9854354858398438
TAP,PSH,random,linear,25,20,-0.05670280274986776,0.16999913422141388,0.06372261047363281
TAP,PSH,random,linear,50,20,-0.03904019037546272,0.13319101379978315,0.1893482208251953
TAP,PSH,random,linear,all,20,0.007712850343733491,0.08133409455329127,0.6215133666992188
TAP,PSH,random,mlp,100,20,-0.04747752511898466,0.1922113035880239,0.2773551940917969
TAP,PSH,random,mlp,150,20,-0.005957165520888421,0.14242423632235465,0.8408222198486328
TAP,PSH,random,mlp,25,20,-0.06697250132205178,0.19186606264192316,0.08969497680664062
TAP,PSH,random,mlp,50,20,-0.07239820200951874,0.19095062228412837,0.14290618896484375
TAP,PSH,random,mlp,all,20,0.024970914859862504,0.1768875953040426,0.40909767150878906
TAP,SFvCSP,cluster,gbm,100,20,-0.2498511779303505,0.09822560976049932,1.9073486328125e-06
TAP,SFvCSP,cluster,gbm,150,20,-0.2276305825834613,0.10882716197174899,1.9073486328125e-06
TAP,SFvCSP,cluster,gbm,25,20,-0.33555235164229436,0.1732747956972556,3.814697265625e-06
TAP,SFvCSP,cluster,gbm,50,20,-0.32370164686803937,0.15091670086324666,1.9073486328125e-06
TAP,SFvCSP,cluster,gbm,all,20,-0.16911123736386524,0.08655092927524506,1.9073486328125e-06
TAP,SFvCSP,cluster,linear,100,20,-0.14834723051816323,0.07023069775599317,1.9073486328125e-06
TAP,SFvCSP,cluster,linear,150,20,-0.13628814364596162,0.07162696258688843,1.9073486328125e-06
TAP,SFvCSP,cluster,linear,25,20,-0.2138075199850653,0.07802740265683784,1.9073486328125e-06
TAP,SFvCSP,cluster,linear,50,20,-0.18006525518659508,0.09901579975882076,9.5367431640625e-06
TAP,SFvCSP,cluster,linear,all,20,-0.13563505358518138,0.07380427590214468,1.9073486328125e-06
TAP,SFvCSP,cluster,mlp,100,20,-0.06973149910299624,0.09473751653249635,0.0042209625244140625
TAP,SFvCSP,cluster,mlp,150,20,-0.06461450207175345,0.0712643498697492,0.0004825592041015625
TAP,SFvCSP,cluster,mlp,25,20,-0.13691176174526182,0.1225781878629566,0.0002613067626953125
TAP,SFvCSP,cluster,mlp,50,20,-0.10609488815919603,0.08655225977214612,2.6702880859375e-05
TAP,SFvCSP,cluster,mlp,all,20,-0.05790214748265874,0.07151861162396202,0.0023250579833984375
TAP,SFvCSP,random,gbm,100,20,-0.2828541193154013,0.1240206869039392,1.9073486328125e-06
TAP,SFvCSP,random,gbm,150,20,-0.20933646708646553,0.08982507048748002,1.9073486328125e-06
TAP,SFvCSP,random,gbm,25,20,-0.3717586144301936,0.14545420814603083,1.9073486328125e-06
TAP,SFvCSP,random,gbm,50,20,-0.2891075620649223,0.1710981345350418,1.9073486328125e-06
TAP,SFvCSP,random,gbm,all,20,-0.209266045940686,0.06461271205488947,1.9073486328125e-06
TAP,SFvCSP,random,linear,100,20,-0.1549602316960203,0.09733455018281692,2.6702880859375e-05
TAP,SFvCSP,random,linear,150,20,-0.14714721628960142,0.07064366358308577,3.814697265625e-06
TAP,SFvCSP,random,linear,25,20,-0.21891306432309432,0.14519918269893164,1.9073486328125e-06
TAP,SFvCSP,random,linear,50,20,-0.16282739059790197,0.12126032051997451,2.6702880859375e-05
TAP,SFvCSP,random,linear,all,20,-0.14468322396464864,0.06476693909907424,1.9073486328125e-06
TAP,SFvCSP,random,mlp,100,20,-0.08211914686573271,0.07754304386219478,0.0002613067626953125
TAP,SFvCSP,random,mlp,150,20,-0.04629307606403483,0.06742108345134346,0.00830841064453125
TAP,SFvCSP,random,mlp,25,20,-0.13781163485746767,0.14561069280790426,0.0010166168212890625
TAP,SFvCSP,random,mlp,50,20,-0.10831679503304448,0.1010517855056991,0.0001049041748046875
TAP,SFvCSP,random,mlp,all,20,-0.04834057776342163,0.06077547929666743,0.0031528472900390625
