dataset,target,split,features,n_max_measured,score_at_n_max,ceiling,fit_r2,n_points,n_for_0.8,n_for_0.85,n_for_0.9,max_extrapolation_factor,reliable,n_for_0.99,n_for_0.6,n_for_0.7
TAP,PNC,random,esm2+cheap,180.0,0.5150682360557666,0.8150682360557665,0.9880395261878936,5,,,,19.8,False,,537.910493254812,3562.15698910625
TAP,PNC,random,random,180.0,0.011566937211476783,0.021253518808746392,-0.00030253136695379546,5,,,,,False,,,
TAP,PPC,cluster,aac,180.1,0.2685957422396326,0.568595742237315,0.883062606217944,5,,,,,False,,,
TAP,PPC,cluster,biophys,180.1,0.3208362250332206,0.3284686549421362,0.9761615223948708,5,,,,,False,,,
TAP,PPC,cluster,cheap,180.1,0.3700066239700853,0.6700066239283896,0.9972367945320763,5,,,,556.5,False,,100232.41375730072,
TAP,PPC,cluster,esm2,180.1,0.312827352481762,0.6128273524817619,0.8649476238539207,5,,,,593615.8,False,,106910206.00413169,
TAP,PPC,cluster,esm2+cheap,180.1,0.3354853948782851,0.6354853948771032,0.8861137725667038,5,,,,3846.1,False,,692686.179078885,
TAP,PPC,cluster,random,180.1,-0.00814325874586913,0.01796278852484103,-0.0010903852551411575,5,,,,,False,,,
TAP,PPC,random,aac,180.0,0.3081926419244002,0.6081926419244,0.9760613823302529,5,,,,216887.9,False,,39039826.446904026,
TAP,PPC,random,biophys,180.0,0.30818056330887866,0.3081805633088787,0.9681006398511925,5,,,,,False,,,
TAP,PPC,random,cheap,180.0,0.4160439720679019,0.7160439720679012,0.9731639182915859,5,,,,60876.5,False,,7622.123904764473,10957773.440423816
TAP,PPC,random,esm2,180.0,0.2987389727682253,0.5987389727682252,0.9874905785968748,5,,,,,False,,,
TAP,PPC,random,esm2+cheap,180.0,0.34726491595732834,0.6472649159573275,0.9485635476813636,5,,,,1524.9,False,,274482.6381374785,
TAP,PPC,random,random,180.0,-0.012875611170224167,0.015529821175294093,-0.001716540341937911,5,,,,,False,,,
TAP,PSH,cluster,aac,180.1,0.5313130123696946,0.6879269843170629,0.9990856840092632,5,,,,3.1,True,,555.686022774606,
TAP,PSH,cluster,biophys,180.1,0.4918832455103222,0.7918832455103206,0.9849354353423014,5,,,,29.5,False,,640.1984592307723,5306.7773913464835
TAP,PSH,cluster,cheap,180.1,0.540874563863792,0.8408745638637919,0.9971347429954616,5,,,,9.9,True,,348.2399010280211,1782.6931757129773
TAP,PSH,cluster,esm2,180.1,0.5250134636448823,0.8250134636448822,0.9972652722564511,5,,,,12.5,False,,401.7699676406328,2247.231485046634
TAP,PSH,cluster,esm2+cheap,180.1,0.5341141489645854,0.8341141481677153,0.9978515021546255,5,,,,11.2,False,,379.08735182248864,2020.243859317585
TAP,PSH,cluster,random,180.1,-0.0012260148276621405,0.03089292296518078,-0.0015449010424699594,5,,,,,False,,,
TAP,PSH,random,aac,180.0,0.5178609201480697,0.5808671776995594,0.9963719269784002,5,,,,,False,,,
TAP,PSH,random,biophys,180.0,0.4920227392913802,0.7920227392902315,0.9889683171332435,5,,,,24.6,False,,588.7281466204405,4430.021112794737
TAP,PSH,random,cheap,180.0,0.5139952406134319,0.7656146717763215,0.9992925139648278,5,,,,70.4,False,,690.2529680626076,12663.61437389993
TAP,PSH,random,esm2,180.0,0.5217080909571654,0.8217080909571653,0.9967192777608901,5,,,,15.4,False,,465.3511581059228,2773.2166863171196
TAP,PSH,random,esm2+cheap,180.0,0.5275171866737175,0.8275171866737173,0.9960234416608517,5,,,,13.8,False,,436.97552871078057,2478.3659826744315
TAP,PSH,random,random,180.0,0.00524854574299312,0.018170280274986777,0.7946233661455682,5,,,,,False,,,
TAP,SFvCSP,cluster,aac,180.1,0.6650306957661197,0.9650306957661196,0.9822490690075352,5,767.5866825987877,,6819.164176354253,37.9,False,,,
TAP,SFvCSP,cluster,biophys,180.1,0.8228397706428929,0.8756983622366509,0.9946102093283715,5,87.52163620618818,,,0.5,True,,,
TAP,SFvCSP,cluster,cheap,180.1,0.8029365855023514,0.8980880376868476,0.9998164258036693,5,169.48591465606916,,,0.9,True,,,
TAP,SFvCSP,cluster,esm2,180.1,0.6673015319171699,0.815185273874548,0.9988500112349425,5,23885.759577084376,,,132.6,False,,,
TAP,SFvCSP,cluster,esm2+cheap,180.1,0.7692028890831406,0.809322055267477,0.998898474057899,5,624.3788945105207,,,3.5,True,,,
TAP,SFvCSP,cluster,random,180.1,-0.019601631136367748,-0.013338695873882598,-0.0009695326296073059,5,,,,,False,,,
TAP,SFvCSP,random,aac,180.0,0.6805648293778023,0.9805648293774714,0.9770104677774316,5,599.7068585283557,,3369.1434331613714,18.7,False,,,
TAP,SFvCSP,random,biophys,180.0,0.8149901698452305,0.8274243197698706,0.996177442490688,5,77.74248808069775,,,0.4,True,,,
TAP,SFvCSP,random,cheap,180.0,0.8097180148483882,0.9858595760233753,0.9965829420953808,5,147.36797434017998,,1005.0864475244387,5.6,True,,,
TAP,SFvCSP,random,esm2,180.0,0.681051254258049,0.83709871299153,0.9997819843920741,5,2826.6286470543114,,,15.7,False,,,
TAP,SFvCSP,random,esm2+cheap,180.0,0.7762428948652851,0.8296955312693213,0.9991457747509858,5,367.61248167194697,,,2.0,True,,,
TAP,SFvCSP,random,random,180.0,0.02235437346730996,0.34167463058570796,0.2136938537314479,5,,,,,False,,,
