dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,cluster,random,mlp,200,0.4962083790294254,0.029041932749485744,20,200.0,0.006493973582582749
SAbDab_Chen,developability,cluster,random,mlp,25,0.497518350580022,0.028543402187395213,20,25.0,0.006382498760013188
SAbDab_Chen,developability,cluster,random,mlp,50,0.4956468837722559,0.02722065707802046,20,50.0,0.006086723961866454
SAbDab_Chen,developability,cluster,random,mlp,500,0.4888676164879803,0.03478315887027629,20,500.0,0.007777750770611257
SAbDab_Chen,developability,cluster,random,mlp,all,0.47425108979721414,0.026820035914426655,20,1802.3,0.005997142346364373
SAbDab_Chen,developability,random,aac,gbm,100,0.6660548335105105,0.03196781244700932,20,100.0,0.007148220172347672
SAbDab_Chen,developability,random,aac,gbm,1000,0.8461056719591236,0.017405781679216685,20,1000.0,0.0038920511036248944
SAbDab_Chen,developability,random,aac,gbm,200,0.7300414080449916,0.02957613711151182,20,200.0,0.00661342530931947
SAbDab_Chen,developability,random,aac,gbm,25,0.5821285278282637,0.06059016975357987,20,25.0,0.013548373833725627
SAbDab_Chen,developability,random,aac,gbm,50,0.6130135283426494,0.04920890576197915,20,50.0,0.011003445838216646
SAbDab_Chen,developability,random,aac,gbm,500,0.8067684578718151,0.022358061688076664,20,500.0,0.004999414577967312
SAbDab_Chen,developability,random,aac,gbm,all,0.884623726895511,0.01434796910462281,20,1806.0,0.0032083034257003396
SAbDab_Chen,developability,random,aac,linear,100,0.6705972874729949,0.044825906826401536,20,100.0,0.01002337748169057
SAbDab_Chen,developability,random,aac,linear,1000,0.8301597167449677,0.01787510543447684,20,1000.0,0.003996995085646612
SAbDab_Chen,developability,random,aac,linear,200,0.7325841877850554,0.03234778835490804,20,200.0,0.007233185368335047
SAbDab_Chen,developability,random,aac,linear,25,0.5764715716196289,0.0738530376433737,20,25.0,0.016514041251543446
SAbDab_Chen,developability,random,aac,linear,50,0.6275384931929632,0.052079977976650114,20,50.0,0.011645437102248161
SAbDab_Chen,developability,random,aac,linear,500,0.8077625081444395,0.020220439655219122,20,500.0,0.0045214277604002364
SAbDab_Chen,developability,random,aac,linear,all,0.8412970234216933,0.013614393778764059,20,1806.0,0.0030442709961766667
SAbDab_Chen,developability,random,aac,mlp,100,0.6972176022770139,0.025723943067974077,20,100.0,0.0057520485349324526
SAbDab_Chen,developability,random,aac,mlp,1000,0.8449225849593635,0.0202431868525416,20,1000.0,0.004526514188351303
SAbDab_Chen,developability,random,aac,mlp,200,0.7521625630122424,0.02698177617616376,20,200.0,0.00603330856835865
SAbDab_Chen,developability,random,aac,mlp,25,0.5909892493398717,0.06492988830755522,20,25.0,0.014518764402716225
SAbDab_Chen,developability,random,aac,mlp,50,0.6400153458386201,0.055533049276620984,20,50.0,0.012417567318037004
SAbDab_Chen,developability,random,aac,mlp,500,0.8184531566132849,0.0278770890375419,20,500.0,0.006233506610275787
SAbDab_Chen,developability,random,aac,mlp,all,0.8707241692671719,0.015709491260946902,20,1806.0,0.0035127490351416157
SAbDab_Chen,developability,random,biophys,gbm,100,0.6717387949658791,0.025336930706089486,20,100.0,0.005665509940001783
SAbDab_Chen,developability,random,biophys,gbm,1000,0.8354921813380886,0.022479477674699364,20,1000.0,0.005026564017931668
SAbDab_Chen,developability,random,biophys,gbm,200,0.7208600528102603,0.02820688249507356,20,200.0,0.006307250669233336
SAbDab_Chen,developability,random,biophys,gbm,25,0.5934295806042317,0.06614862821347937,20,25.0,0.014791282930370034
SAbDab_Chen,developability,random,biophys,gbm,50,0.6257192826034773,0.06852971523886248,20,50.0,0.015323710175279972
SAbDab_Chen,developability,random,biophys,gbm,500,0.7972227461335345,0.029262441099879927,20,500.0,0.006543280748691523
SAbDab_Chen,developability,random,biophys,gbm,all,0.8732802373032476,0.01753267561039269,20,1806.0,0.003920425449229067
